GestureType,TrialNumber,Time,X_accl,Y_accl,Z_accl
G2,3,4698,-0.7937281131744385,0.33361002802848816,0.5724611282348633
G2,3,4799,-0.7854244709014893,0.36682450771331787,0.5680651068687439
G2,3,4901,-0.7678403258323669,0.39173534512519836,0.4786791205406189
G2,3,5001,-0.7829822301864624,0.3658476173877716,0.5226393938064575
G2,3,5104,-0.7321836352348328,0.3731743097305298,0.5045668482780457
G2,3,5205,-0.7312067151069641,0.3888046443462372,0.4977285861968994
G2,3,5307,-0.7434179186820984,0.37122052907943726,0.5568307638168335
G2,3,5408,-0.6657546758651733,0.3844086229801178,0.6242366433143616
G2,3,5510,-0.7316952347755432,0.3526594936847687,0.6384016275405884
G2,3,5611,-0.7483024597167969,0.3560786247253418,0.599814236164093
G2,3,5713,-0.7243684530258179,0.3888046443462372,0.5050552487373352
G2,3,5813,-0.740487277507782,0.3736627697944641,0.6418207883834839
G2,3,5917,-0.6935962438583374,0.36194002628326416,0.7204608917236328
G2,3,6017,-0.5490156412124634,0.4552335739135742,0.6530550718307495
G2,3,6119,-0.44155704975128174,0.4689101576805115,0.7448832988739014
G2,3,6220,-0.3213988244533539,0.5382697582244873,0.682361900806427
G2,3,6322,-0.2227323204278946,0.49479788541793823,0.8415960073471069
G2,3,6422,-0.12650804221630096,0.5177549719810486,0.869437575340271
G2,3,6525,-0.14213839173316956,0.4923556447029114,0.9270744323730469
G2,3,6628,-0.2290821373462677,0.5045668482780457,0.8303616642951965
G2,3,6728,-0.24129334092140198,0.5021246075630188,0.797147274017334
G2,3,6831,-0.204171285033226,0.5162896513938904,0.760025143623352
G2,3,6934,-0.26913487911224365,0.49186721444129944,0.907536506652832
G2,3,7037,-0.012211201712489128,0.470863938331604,0.9847112894058228
G2,3,7139,-0.42592671513557434,0.5529232025146484,0.9085134267807007
G2,3,7244,-0.4625602960586548,0.7238800525665283,0.9353780150413513
G2,3,7348,-0.204171285033226,1.0330675840377808,0.6970153450965881
G2,3,7450,0.020026370882987976,0.5866261124610901,0.0737556591629982
G2,3,7553,-0.12455425411462784,0.3487519323825836,0.014164994470775127
G2,3,7655,-0.14360372722148895,0.8635761141777039,0.3941775858402252
G2,3,7756,0.36487069725990295,1.1009619235992432,1.0677474737167358
G2,3,7858,0.39955052733421326,0.8274310231208801,0.39759671688079834
G2,3,7958,0.2539930045604706,0.6081178188323975,0.8210812211036682
G2,3,8061,0.2622966170310974,0.6594049334526062,0.5783224701881409
G2,3,8161,0.19391387701034546,0.744394838809967,0.7483024597167969
G2,3,8264,0.17388750612735748,0.6935962438583374,0.6882233619689941
G2,3,8364,0.09280513226985931,0.6530550718307495,0.7038536667823792
G2,3,8468,0.1382308006286621,0.7224146723747253,0.6833388209342957
G2,3,8568,0.11380839347839355,0.6799197196960449,0.7102034687995911
